         525236 function calls (513044 primitive calls) in 6.050 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:233(InvalidIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        8    0.000    0.000    0.001    0.000 __init__.py:2349(normalize_path)
        8    0.000    0.000    0.000    0.000 __init__.py:2355(_cygwin_patch)
      372    0.000    0.000    0.001    0.000 __init__.py:2366(_normalize_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:238(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
       12    0.000    0.000    0.000    0.000 __init__.py:2389(_is_unpacked_egg)
       22    0.000    0.000    0.000    0.000 __init__.py:24(_module_matches_namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:2422(EntryPoint)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:247(ResolutionError)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
        2    0.000    0.000    0.000    0.000 __init__.py:252(WordSet)
        1    0.000    0.000    0.000    0.000 __init__.py:254(DeprecatedList)
        1    0.000    0.000    0.000    0.000 __init__.py:254(VersionConflict)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
       26    0.000    0.000    0.086    0.003 __init__.py:2554(_version_from_file)
       78    0.000    0.000    0.000    0.000 __init__.py:2559(is_version_line)
        1    0.000    0.000    0.000    0.000 __init__.py:2567(Distribution)
        1    0.000    0.000    0.000    0.000 __init__.py:257(<dictcomp>)
       90    0.000    0.000    0.004    0.000 __init__.py:2571(__init__)
       90    0.001    0.000    0.091    0.001 __init__.py:2584(from_location)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.490    0.490 __init__.py:26(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:26(InfinityType)
        1    0.000    0.000    0.000    0.000 __init__.py:26(clear_distutils)
       64    0.000    0.000    0.000    0.000 __init__.py:2601(_reload_version)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
      316    0.000    0.000    0.000    0.000 __init__.py:2643(key)
        2    0.000    0.000    0.000    0.000 __init__.py:2684(version)
        1    0.000    0.000    0.000    0.000 __init__.py:270(LogRecord)
        2    0.000    0.000    0.000    0.000 __init__.py:274(__getattr__)
      150    0.000    0.000    0.089    0.001 __init__.py:2771(_get_metadata)
       26    0.000    0.000    0.086    0.003 __init__.py:2776(_get_version)
       45    0.000    0.000    0.016    0.000 __init__.py:2782(activate)
        1    0.000    0.000    0.000    0.000 __init__.py:28(RTLD_for_MKL)
      188    0.000    0.000    0.000    0.000 __init__.py:2818(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:286(ContextualVersionConflict)
       45    0.000    0.000    0.001    0.000 __init__.py:2873(insert_on)
       45    0.000    0.000    0.000    0.000 __init__.py:2899(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:29(__init__)
     12/9    0.000    0.000    0.136    0.015 __init__.py:29(load_module)
       10    0.000    0.000    0.000    0.000 __init__.py:295(_wrap_deprecated_method)
        1    0.000    0.000    0.000    0.000 __init__.py:2984(EggInfoDistribution)
       26    0.000    0.000    0.086    0.003 __init__.py:2985(_reload_version)
        1    0.000    0.000    0.000    0.000 __init__.py:299(DistributionNotFound)
        4    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        3    0.000    0.000    4.335    1.445 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3003(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 __init__.py:3073(parse_requirements)
        1    0.000    0.000    0.000    0.000 __init__.py:3082(RequirementParseError)
        1    0.000    0.000    0.000    0.000 __init__.py:3086(Requirement)
        1    0.000    0.000    0.000    0.000 __init__.py:3087(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3093(<listcomp>)
