filename,cell_count_low,cost_usd_low
inunriver_rcp8p5_MIROC-ESM-CHEM_2080_rp00250.csv,207140,1527423600
inunriver_rcp8p5_MIROC-ESM-CHEM_2080_rp00500.csv,209100,1601414000
inunriver_rcp8p5_MIROC-ESM-CHEM_2080_rp01000.csv,210683,1659323200
inunriver_rcp8p5_model-mean_2030_rp00100.csv,158363,1028707600
inunriver_rcp8p5_model-mean_2030_rp00250.csv,160209,1139495200
inunriver_rcp8p5_model-mean_2030_rp00500.csv,162332,1162865200
inunriver_rcp8p5_model-mean_2030_rp01000.csv,163817,1193567600
inunriver_rcp8p5_model-mean_2050_rp00100.csv,158264,1042365600
inunriver_rcp8p5_model-mean_2050_rp00250.csv,160571,1141466800
inunriver_rcp8p5_model-mean_2050_rp00500.csv,162208,1175165200
inunriver_rcp8p5_model-mean_2050_rp01000.csv,164005,1197396400
inunriver_rcp8p5_model-mean_2080_rp00100.csv,160435,1119849600
inunriver_rcp8p5_model-mean_2080_rp00250.csv,163280,1169236000
inunriver_rcp8p5_model-mean_2080_rp00500.csv,164434,1195067200
inunriver_rcp8p5_model-mean_2080_rp01000.csv,165699,1256566400
