,gid_id,mean_cell_count_baseline,cost_usd_baseline
3533,MEX.21_1,275.0,4717497.0
3534,MEX.22_1,50.5,1080008.5
3535,MEX.23_1,178.0,2083322.0
3536,MEX.24_1,100.0,2044165.0
3537,MEX.25_1,1704.5,23695185.5
3538,MEX.26_1,198.0,2741682.0
3539,MEX.27_1,649.0,9476660.0
3540,MEX.28_1,419.5,7825068.5
3541,MEX.2_1,178.0,1483274.0
3542,MEX.30_1,621.0,10552544.0
3543,MEX.31_1,4.0,33332.0
3544,MEX.32_1,28.0,498339.0
3545,MEX.3_1,1194.0,9949602.0
3546,MEX.4_1,26.0,216658.0
3547,MEX.5_1,163.5,2957485.5
3548,MEX.6_1,427.0,5403319.0
3549,MEX.7_1,222.0,3529200.0
3550,MEX.8_1,189.5,2446657.5
3551,MEX.9_1,444.0,3699852.0
3552,MKD.10_1,105.0,2275035.0
3553,MKD.13_1,1.0,33333.0
3554,MKD.14_1,1.0,16667.0
3555,MKD.15_1,72.0,1455024.0
3556,MKD.16_1,2.0,66666.0
3557,MKD.1_1,52.0,846670.0
3558,MKD.20_1,16.0,266672.0
3559,MKD.23_1,186.0,3532549.0
3560,MKD.24_1,2.0,33334.0
3561,MKD.27_1,11.0,183337.0
3562,MKD.28_1,49.0,558325.0
3563,MKD.2_1,25.0,541675.0
3564,MKD.30_1,3.0,50001.0
3565,MKD.31_1,41.0,763347.0
3566,MKD.39_1,1.0,12500.0
3567,MKD.46_1,5.0,83335.0
3568,MKD.48_1,1.0,12500.0
3569,MKD.49_1,1.0,16667.0
3570,MKD.50_1,1.0,12500.0
3571,MKD.52_1,2.0,16666.0
3572,MKD.55_1,35.0,398329.0
3573,MKD.5_1,1.0,16667.0
3574,MKD.62_1,2.5,37500.5
3575,MKD.66_1,2.0,33334.0
3576,MKD.67_1,27.0,450009.0
3577,MKD.71_1,5.0,108335.0
3578,MKD.75_1,6.0,91668.0
3579,MKD.77_1,18.0,158328.0
3580,MKD.80_1,1.0,16667.0
3581,MKD.83_1,5.0,108335.0
3582,MLI.1_1,129.0,4015806.0
3583,MLI.2_1,8.5,196666.5
3584,MLI.3_1,15.0,434165.0
3585,MLI.5_1,25.0,747495.0
3586,MLI.6_1,10.0,203333.0
3587,MLI.7_1,12.0,274167.0
3588,MLI.8_1,3.5,74166.5
3589,MLI.9_1,3.5,60000.5
3590,MMR.11_1,9.5,231666.5
3591,MMR.12_1,83.0,2588312.0
3592,MMR.13_1,25.0,531672.0
3593,MMR.14_1,23.0,396674.0
3594,MMR.15_1,25.5,380837.5
3595,MMR.1_1,70.0,1360003.0
3596,MMR.2_1,23.0,483333.0
3597,MMR.4_1,11.5,308334.5
3598,MMR.5_1,6.0,199998.0
3599,MMR.6_1,25.5,717496.5
3600,MMR.7_1,45.0,1405822.0
3601,MMR.8_1,86.0,2457490.0
3602,MMR.9_1,25.0,650835.0
3603,MNG.11_1,2.0,16666.0
3604,MNG.12_1,2.0,25000.0
3605,MNG.14_1,15.0,311671.0
3606,MNG.17_1,5.0,83335.0
3607,MNG.18_1,5.5,97500.5
3608,MNG.1_1,2.0,35834.0
3609,MNG.20_1,2.0,33334.0
3610,MNG.21_1,117.0,1825029.0
3611,MNG.2_1,6.0,100002.0
3612,MNG.3_1,6.0,66666.0
3613,MNG.4_1,4.0,75000.0
3614,MNG.5_1,5.0,94168.0
3615,MNG.9_1,3.0,41667.0
3616,MOZ.10_1,8.5,244164.5
3617,MOZ.11_1,9.0,198333.0
3618,MOZ.1_1,3.5,77499.5
3619,MOZ.2_1,25.5,657497.5
3620,MOZ.3_1,2.0,38334.0
3621,MOZ.5_1,6.0,163334.0
3622,MOZ.6_1,19.0,420001.0
3623,MOZ.7_1,3.0,65001.0
3624,MOZ.8_1,1.0,25000.0
3625,MOZ.9_1,23.5,617498.5
3626,MRT.10_1,94.5,787468.5
3627,MRT.13_1,5.5,104166.5
3628,MRT.1_1,7.0,58331.0
3629,MRT.2_1,1.0,12500.0
3630,MRT.3_1,3.0,50001.0
3631,MRT.7_1,2.0,25000.0
3632,MRT.9_1,1.0,8333.0
3633,MWI.11_1,55.0,916685.0
3634,MWI.12_1,6.5,188332.5
3635,MWI.13_1,11.5,264168.5
3636,MWI.15_1,1.0,25000.0
3637,MWI.18_1,4.0,127499.0
3638,MWI.19_1,5.0,49999.0
3639,MWI.20_1,22.0,249998.0
3640,MWI.21_1,2.0,55000.0
3641,MWI.22_1,1.0,16667.0
3642,MWI.25_1,4.0,75001.0
3643,MWI.26_1,15.0,250005.0
3644,MWI.3_1,4.0,115000.0
3645,MWI.6_1,1.0,8333.0
3646,MWI.8_1,20.0,262501.0
3647,MWI.9_1,5.0,92500.0
3648,MYS.10_1,102.5,1258331.5
3649,MYS.11_1,821.5,14651884.5
3650,MYS.12_1,49.0,939183.0
3651,MYS.13_1,1902.0,25795938.0
3652,MYS.14_1,1106.5,29349957.5
3653,MYS.15_1,1867.0,32750457.0
3654,MYS.16_1,828.5,21060046.5
3655,MYS.1_1,751.5,14631819.5
3656,MYS.2_1,873.0,12280896.0
3657,MYS.3_1,618.0,11505171.0
3658,MYS.5_1,99.0,1237500.0
3659,MYS.6_1,411.5,9917522.5
3660,MYS.7_1,25.5,529173.5
3661,MYS.8_1,668.5,16634224.5
3662,MYS.9_1,931.0,21899265.0
3663,NAM.10_1,15.0,124995.0
3664,NAM.11_1,3.0,24999.0
3665,NAM.13_1,5.0,70834.0
3666,NAM.1_1,4.0,46666.0
3667,NAM.2_1,16.0,200000.0
3668,NAM.3_1,2.0,44167.0
3669,NAM.4_1,3.0,50834.0
3670,NAM.6_1,1.0,16667.0
3671,NAM.7_1,5.0,41665.0
3672,NAM.8_1,1.0,16667.0
3673,NAM.9_1,1.0,8333.0
3674,NER.1_1,2.0,45000.0
3675,NER.2_1,3.0,63333.0
3676,NER.3_1,2.0,55000.0
3677,NER.5_1,71.5,2191647.5
3678,NER.6_1,4.0,105000.0
3679,NER.7_1,12.0,349998.0
3680,NGA.10_1,147.0,2400878.0
3681,NGA.12_1,2.0,35834.0
3682,NGA.15_1,15.5,453333.5
3683,NGA.18_1,4.5,100834.5
3684,NGA.19_1,44.0,1180824.0
3685,NGA.1_1,6.0,102502.0
3686,NGA.20_1,7.5,170000.5
3687,NGA.21_1,1.0,12500.0
3688,NGA.22_1,1.0,33333.0
3689,NGA.23_1,11.0,304166.0
3690,NGA.25_1,428.0,11546618.0
3691,NGA.26_1,4.5,107500.5
3692,NGA.27_1,15.0,424999.0
3693,NGA.28_1,161.5,4822467.5
3694,NGA.29_1,3.0,55001.0
3695,NGA.2_1,7.5,229998.5
3696,NGA.30_1,14.0,233338.0
3697,NGA.31_1,2.0,55000.0
3698,NGA.33_1,674.5,11585214.5
3699,NGA.34_1,4.0,108333.0
3700,NGA.35_1,1.0,33333.0
3701,NGA.36_1,5.0,149999.0
3702,NGA.37_1,2.0,55000.0
3703,NGA.3_1,5.0,150000.0
3704,NGA.4_1,4.0,110000.0
3705,NGA.5_1,3.0,67500.0
3706,NGA.6_1,30.0,611667.0
3707,NGA.7_1,10.0,311664.0
3708,NGA.8_1,37.5,664168.5
3709,NGA.9_1,7.0,161667.0
3710,NIC.10_1,8.0,133336.0
3711,NIC.11_1,8.0,125000.0
3712,NIC.13_1,10.0,140834.0
3713,NIC.15_1,17.5,237499.5
3714,NIC.16_1,1.0,21667.0
3715,NIC.17_1,1.5,38333.5
3716,NIC.18_1,2.0,33334.0
3717,NIC.1_1,6.0,114168.0
3718,NIC.2_1,18.0,401662.0
3719,NIC.3_1,20.0,350006.0
3720,NIC.5_1,10.5,180000.5
3721,NIC.8_1,1.0,16667.0
3722,NIC.9_1,1.0,20833.0
3723,NLD.10_1,543.5,7666736.5
3724,NLD.11_1,1987.0,23899925.0
3725,NLD.12_1,780.0,11754327.0
3726,NLD.13_1,7.0,116669.0
3727,NLD.14_1,7523.0,114293287.0
3728,NLD.1_1,387.5,3654071.5
3729,NLD.2_1,1693.0,25066979.0
3730,NLD.3_1,840.5,10895864.5
3731,NLD.4_1,1234.0,18729431.0
3732,NLD.5_1,1129.5,9412123.5
3733,NLD.6_1,16.0,149996.0
3734,NLD.7_1,251.5,4004235.5
3735,NLD.8_1,1568.5,20962608.5
3736,NLD.9_1,4058.0,37598950.0
3737,NOR.10_1,296.5,4027472.5
3738,NOR.11_1,221.5,3405037.5
3739,NOR.12_1,2459.0,39443943.0
3740,NOR.13_1,781.0,6558077.0
3741,NOR.14_1,95.0,883309.0
3742,NOR.15_1,256.0,2699960.0
3743,NOR.16_1,266.0,2801620.0
3744,NOR.17_1,94.0,1049990.0
3745,NOR.18_1,387.0,3508227.0
3746,NOR.19_1,499.5,4318169.5
3747,NOR.1_1,1029.0,16502373.0
3748,NOR.2_1,530.0,4589834.0
3749,NOR.3_1,393.0,3274869.0
3750,NOR.4_1,563.5,12305819.5
3751,NOR.5_1,88.0,845813.0
3752,NOR.6_1,342.0,4668350.0
3753,NOR.7_1,1113.0,9274629.0
3754,NOR.8_1,83.0,1054168.0
