iso3,hazard,climate_scenario,model,year,return_period,percentile,min_depth,mean_depth,max_depth,flooded_area_km2,continent
ARE,inuncoast,rcp8p5,wtsub,2050,rp0250,0,0.0,0.9740707480709296,5.6476545,0.001,Asia
ARE,inuncoast,rcp8p5,wtsub,2050,rp0500,0,0.0,0.977899970947077,5.6758504,0.001,Asia
ARE,inuncoast,rcp8p5,wtsub,2050,rp1000,0,0.0,0.9931562223623336,5.7040253,0.001,Asia
ARE,inuncoast,rcp8p5,wtsub,2080,rp0100,0,0.01,1.125807074266511,5.9741135,0.001,Asia
ARE,inuncoast,rcp8p5,wtsub,2080,rp0250,0,0.01,1.1420407362433802,6.0114546,0.001,Asia
ARE,inuncoast,rcp8p5,wtsub,2080,rp0500,0,0.0,1.15215417310076,6.0396504,0.001,Asia
ARE,inuncoast,rcp8p5,wtsub,2080,rp1000,0,0.0,1.159700289107579,6.0678253,0.001,Asia
ARG,inuncoast,historical,wtsub,hist,rp0100,0,0.0,1.0980470335824055,6.8910546,0.001,South America
ARG,inuncoast,historical,wtsub,hist,rp0250,0,0.0,1.0853218455531246,7.0361385,0.001,South America
ARG,inuncoast,historical,wtsub,hist,rp0500,0,0.0,1.1009006560843448,7.1456885,0.001,South America
ARG,inuncoast,historical,wtsub,hist,rp1000,0,0.0,1.1132041025633874,7.2551594,0.002,South America
ARG,inuncoast,rcp4p5,wtsub,2030,rp0100,0,0.0,1.096347479115924,6.976155,0.001,South America
ARG,inuncoast,rcp4p5,wtsub,2030,rp0250,0,0.0,1.124481925369428,7.1212387,0.002,South America
ARG,inuncoast,rcp4p5,wtsub,2030,rp0500,0,0.0,1.1188517954419843,7.2307887,0.002,South America
ARG,inuncoast,rcp4p5,wtsub,2030,rp1000,0,0.0,1.1408789324734363,7.3402596,0.002,South America
ARG,inuncoast,rcp4p5,wtsub,2050,rp0100,0,0.0,1.1528452111625045,7.0534544,0.002,South America
ARG,inuncoast,rcp4p5,wtsub,2050,rp0250,0,0.0,1.1562110009292834,7.198539,0.002,South America
ARG,inuncoast,rcp4p5,wtsub,2050,rp0500,0,0.0,1.17459638174067,7.3080883,0.002,South America
ARG,inuncoast,rcp4p5,wtsub,2050,rp1000,0,0.0,1.1517034070765264,7.4175596,0.002,South America
ARG,inuncoast,rcp4p5,wtsub,2080,rp0100,0,0.0,1.1966339313083454,7.2192545,0.002,South America
ARG,inuncoast,rcp4p5,wtsub,2080,rp0250,0,0.0,1.1914824838853748,7.3643384,0.002,South America
ARG,inuncoast,rcp4p5,wtsub,2080,rp0500,0,0.0,1.219685822635884,7.4738884,0.002,South America
ARG,inuncoast,rcp4p5,wtsub,2080,rp1000,0,0.0,1.2488316405551652,7.5833592,0.002,South America
ARG,inuncoast,rcp8p5,wtsub,2030,rp0100,0,0.0,1.0979703657499351,6.9834547,0.001,South America
ARG,inuncoast,rcp8p5,wtsub,2030,rp0250,0,0.0,1.129917524021934,7.1285386,0.002,South America
ARG,inuncoast,rcp8p5,wtsub,2030,rp0500,0,0.0,1.124239436182601,7.2380886,0.002,South America
ARG,inuncoast,rcp8p5,wtsub,2030,rp1000,0,0.0,1.1460659610776265,7.3475595,0.002,South America
ARG,inuncoast,rcp8p5,wtsub,2050,rp0100,0,0.0,0.9337442162323188,96.0,0.002,South America
ARG,inuncoast,rcp8p5,wtsub,2050,rp0250,0,0.0,1.1638866424116368,7.2186384,0.002,South America
ARG,inuncoast,rcp8p5,wtsub,2050,rp0500,0,0.0,1.1490609375623766,7.3281884,0.002,South America
ARG,inuncoast,rcp8p5,wtsub,2050,rp1000,0,0.0,1.1727946185124347,7.4376593,0.002,South America
ARG,inuncoast,rcp8p5,wtsub,2080,rp0100,0,0.0,1.236846655023167,7.3172545,0.002,South America
ARG,inuncoast,rcp8p5,wtsub,2080,rp0250,0,0.0,0.7197922208300892,60.562523,0.005,South America
ARG,inuncoast,rcp8p5,wtsub,2080,rp0500,0,0.0,1.2836890091641266,7.5718884,0.002,South America
ARG,inuncoast,rcp8p5,wtsub,2080,rp1000,0,0.0,1.311674032460148,7.6813593,0.002,South America
ARM,inuncoast,historical,wtsub,hist,rp0100,0,-,NA,-,NA,Asia
ARM,inuncoast,historical,wtsub,hist,rp0250,0,-,NA,-,NA,Asia
ARM,inuncoast,historical,wtsub,hist,rp0500,0,-,NA,-,NA,Asia
ARM,inuncoast,historical,wtsub,hist,rp1000,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp4p5,wtsub,2030,rp0100,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp4p5,wtsub,2030,rp0250,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp4p5,wtsub,2030,rp0500,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp4p5,wtsub,2030,rp1000,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp4p5,wtsub,2050,rp0100,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp4p5,wtsub,2050,rp0250,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp4p5,wtsub,2050,rp0500,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp4p5,wtsub,2050,rp1000,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp4p5,wtsub,2080,rp0100,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp4p5,wtsub,2080,rp0250,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp4p5,wtsub,2080,rp0500,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp4p5,wtsub,2080,rp1000,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp8p5,wtsub,2030,rp0100,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp8p5,wtsub,2030,rp0250,0,-,NA,-,NA,Asia
ARM,inuncoast,rcp8p5,wtsub,2030,rp0500,0,-,NA,-,NA,Asia
